id,archetype,latency_ms,drift_score,response_len
SYN-0876,innkeeper,1273.5,1.0,101
SYN-0877,innkeeper,305.5,1.0,20
SYN-0878,innkeeper,780.4,1.0,43
SYN-0879,innkeeper,1514.3,1.0,175
SYN-0880,herbalist,869.4,1.0,80
SYN-0881,herbalist,398.3,1.0,31
SYN-0882,herbalist,1063.4,1.0,122
SYN-0883,herbalist,629.1,1.0,66
SYN-0884,herbalist,1210.8,1.0,132
SYN-0885,merchant,355.2,1.0,24
SYN-0886,merchant,595.9,1.0,52
SYN-0887,merchant,1044.7,1.0,116
SYN-0888,merchant,255.5,0.0,13
SYN-0889,merchant,344.5,1.0,24
SYN-0890,scholar,711.0,1.0,56
SYN-0891,scholar,573.4,0.0,52
SYN-0892,scholar,1064.1,1.0,92
SYN-0893,scholar,1309.3,1.0,114
SYN-0894,scholar,799.2,1.0,72
SYN-0895,innkeeper,1133.9,1.0,79
SYN-0896,innkeeper,366.7,0.0,23
SYN-0897,innkeeper,329.4,1.0,19
SYN-0898,innkeeper,430.1,1.0,41
SYN-0899,innkeeper,1170.1,1.0,128
SYN-0900,merchant,449.2,0.0,51
SYN-0901,merchant,973.3,0.0,116
SYN-0902,scholar,610.9,1.0,62
SYN-0903,scholar,326.8,1.0,19
SYN-0904,innkeeper,1392.0,1.0,144
SYN-0905,merchant,923.7,1.0,108
SYN-0906,merchant,1116.1,1.0,120
SYN-0907,merchant,1179.8,0.0,138
SYN-0908,merchant,436.5,1.0,37
SYN-0909,merchant,1435.6,1.0,95
SYN-0910,merchant,690.7,1.0,41
SYN-0911,scholar,687.9,1.0,41
SYN-0912,scholar,735.9,1.0,42
SYN-0913,scholar,1041.3,0.0,75
SYN-0914,scholar,377.1,1.0,29
SYN-0915,scholar,416.7,1.0,36
SYN-0916,scholar,912.1,1.0,99
SYN-0917,innkeeper,990.8,1.0,102
SYN-0918,innkeeper,573.8,1.0,46
SYN-0919,innkeeper,648.6,1.0,56
SYN-0920,innkeeper,321.5,1.0,19
SYN-0921,herbalist,1120.8,1.0,114
SYN-0922,herbalist,649.0,1.0,53
SYN-0923,herbalist,1346.2,1.0,152
SYN-0924,merchant,1122.7,0.0,134
SYN-0925,merchant,399.8,0.0,39
SYN-0926,merchant,459.6,1.0,35
SYN-0927,merchant,865.2,1.0,77
SYN-0928,merchant,375.7,1.0,19
SYN-0929,scholar,1330.6,1.0,111
SYN-0930,scholar,2292.4,1.0,187
SYN-0931,scholar,512.9,1.0,46
SYN-0932,scholar,1216.5,1.0,129
SYN-0933,scholar,301.5,1.0,18
SYN-0934,innkeeper,536.7,1.0,46
SYN-0935,innkeeper,1096.0,1.0,104
SYN-0936,innkeeper,839.0,0.0,94
SYN-0937,innkeeper,347.5,1.0,28
SYN-0938,innkeeper,522.8,1.0,46
SYN-0939,herbalist,803.0,1.0,65
SYN-0940,herbalist,365.1,1.0,28
SYN-0941,merchant,706.4,1.0,65
SYN-0942,merchant,760.0,1.0,77
SYN-0943,merchant,494.5,1.0,34
SYN-0944,merchant,591.8,1.0,70
SYN-0945,merchant,1387.4,1.0,132
SYN-0946,scholar,876.7,1.0,59
SYN-0947,scholar,397.5,0.0,21
SYN-0948,scholar,1565.8,1.0,120
SYN-0949,scholar,1609.5,1.0,153
SYN-0950,scholar,880.3,1.0,84
SYN-0951,innkeeper,426.0,1.0,35
SYN-0952,innkeeper,405.3,1.0,31
SYN-0953,innkeeper,204.8,0.0,10
SYN-0954,innkeeper,610.3,1.0,49
SYN-0955,innkeeper,2496.3,1.0,278
SYN-0956,herbalist,395.4,1.0,29
SYN-0957,herbalist,358.0,1.0,26
SYN-0958,merchant,359.2,1.0,31
SYN-0959,merchant,547.9,1.0,45
SYN-0960,merchant,532.7,1.0,45
SYN-0961,merchant,358.4,1.0,22
SYN-0962,merchant,929.7,1.0,90
SYN-0963,scholar,610.2,1.0,42
SYN-0964,scholar,674.1,1.0,41
SYN-0965,scholar,546.8,1.0,38
SYN-0966,scholar,1050.3,1.0,79
SYN-0967,scholar,942.0,1.0,59
SYN-0968,innkeeper,1226.4,1.0,99
SYN-0969,innkeeper,2562.9,1.0,253
SYN-0970,innkeeper,317.5,0.0,23
SYN-0971,innkeeper,458.2,1.0,38
SYN-0972,herbalist,673.9,1.0,64
SYN-0973,herbalist,1064.3,1.0,106
SYN-0974,herbalist,663.3,1.0,70
SYN-0975,merchant,734.5,1.0,73
SYN-0976,merchant,450.7,1.0,37
SYN-0977,merchant,1215.1,1.0,132
SYN-0978,merchant,950.4,1.0,92
SYN-0979,merchant,451.2,1.0,41
SYN-0980,merchant,1714.8,1.0,156
SYN-0981,scholar,1683.5,1.0,128
SYN-0982,scholar,393.0,1.0,27
SYN-0983,scholar,433.7,1.0,19
SYN-0984,scholar,847.0,1.0,92
SYN-0985,innkeeper,676.9,1.0,60
SYN-0986,innkeeper,440.8,1.0,38
SYN-0987,innkeeper,232.8,0.0,18
SYN-0988,innkeeper,255.5,0.0,13
SYN-0989,herbalist,1396.1,1.0,156
SYN-0990,herbalist,448.1,1.0,38
SYN-0991,herbalist,1363.5,1.0,154
SYN-0992,guard,1108.0,1.0,114
SYN-0993,guard,858.9,1.0,97
SYN-0994,merchant,1235.8,1.0,141
SYN-0995,merchant,531.1,1.0,42
SYN-0996,merchant,668.8,1.0,59
SYN-0997,merchant,1063.3,1.0,83
SYN-0998,scholar,1697.5,1.0,132
SYN-0999,scholar,1366.0,1.0,106
SYN-1000,scholar,1096.1,1.0,97
SYN-1001,innkeeper,1235.9,1.0,133
SYN-1002,innkeeper,363.2,1.0,32
SYN-1003,innkeeper,434.1,1.0,37
